date,a_instance_count,a_cpu_usage,a_mem_usage,b_instance_count,b_cpu_usage,b_mem_usage,c_instance_count,c_cpu_usage,c_mem_usage,d_instance_count,d_cpu_usage,d_mem_usage,e_instance_count,e_cpu_usage,e_mem_usage,f_instance_count,f_cpu_usage,f_mem_usage,g_instance_count,g_cpu_usage,g_mem_usage,h_instance_count,h_cpu_usage,h_mem_usage
2019-05-05 19:09:00,671615.3667,3456.96157,3024.010542,555352.9556,4876.963137,4246.483085,461301.25,4028.641674,2543.529285,569250.4389,3803.951998,3081.330871,495186.7111,3156.184859,2679.929062,689138.0333,7358.687628,3667.745405,486429.2278,5736.062172,2494.185165,484246.0611,4425.398536,3226.10044
2019-05-05 19:12:00,679641.1389,3554.559402,3034.505761,566344.8111,4934.934467,4259.827357,465520.0833,4033.973892,2537.497429,570207.1333,3798.104981,3073.607709,497512.5056,3263.991598,2691.786279,687648.3333,7349.855745,3659.499787,482975.5167,5704.530687,2484.827734,495536.8833,4523.032007,3236.09819
2019-05-05 19:15:00,674172.5056,3454.95403,3050.865486,563407.3278,5080.856881,4266.424589,461203.4278,3692.453957,2512.644663,581761.1611,3803.656701,3086.803868,495733.9056,3239.157269,2708.034865,685710.0222,7319.622468,3658.945847,483213.9611,5651.51861,2468.512351,515527.3833,4396.222466,3243.462933
2019-05-05 19:18:00,677458.0056,3527.349168,3093.573836,564572.5444,5121.276919,4297.089062,451851.9833,3705.421607,2512.441311,593884.8778,3795.640498,3108.019483,484571.0222,3249.606343,2702.46686,687942.2722,7350.388757,3680.622452,481213.3722,5712.597085,2492.548844,506040.0833,4375.774963,3229.249746
2019-05-05 19:21:00,676637.7611,3543.284921,3098.293164,569771.8833,5197.795669,4359.30504,451866.2667,3725.865886,2545.552895,584004.5056,3753.252567,3128.977582,496970.7889,3269.682959,2716.959959,691781.3889,7390.408415,3715.895364,478010.0889,5738.737632,2496.66891,483143.8222,4330.001217,3206.960652
2019-05-05 19:24:00,675426.1222,3466.259753,3062.674731,571215.2667,5139.446772,4377.347667,454905.2167,3806.792683,2550.932664,573758.9667,3775.181984,3145.412314,501740.6667,3232.166827,2717.517657,690830.5,7493.949982,3731.178123,492519.35,5843.255454,2531.717156,481723.7722,4317.305131,3206.945617
2019-05-05 19:27:00,671776.6333,3355.220557,3020.593461,567717.7722,5096.36299,4377.50007,454313.45,3874.197843,2554.032695,575751.5167,3805.841091,3159.435588,491664.6389,3219.747413,2685.079468,692022.7333,7548.1408,3740.962388,497639.6611,5948.823244,2570.734676,486693.1833,4348.563556,3213.159397
2019-05-05 19:30:00,665992.6611,3069.141697,2915.229186,566658.8833,5002.350671,4378.253113,451146.2,4166.850049,2595.522011,576285.2556,3893.739927,3194.122724,496800.1111,3255.866567,2702.450841,695928.8667,7684.061765,3766.372174,503476.3278,6045.549793,2568.284708,497271.3278,4312.198266,3232.005658
2019-05-05 19:33:00,672589.65,3205.022417,2983.830339,566234.2778,5022.707181,4372.638895,448194.1222,4238.708369,2603.228315,580853.3667,3934.374978,3201.633814,498437.5111,3190.705819,2702.117713,695701.8056,7679.268715,3769.358841,519512.4667,6097.259054,2601.507756,492593.45,4423.222479,3249.662159
2019-05-05 19:36:00,677566.5556,3316.821526,3025.515088,569838.1722,5069.268089,4378.731976,450201.7944,4322.534392,2611.059077,582472.4278,4010.080753,3211.353715,475667.5389,2979.036601,2677.468076,695616.05,7638.334106,3772.661287,511163.9056,6102.145974,2612.45952,494363.2056,4648.878486,3319.39398
